REF_AREA,TIME_PERIOD,GDP_PC
FR,2020-04-01,89.234
FR,2020-07-01,101.796
FR,2020-10-01,107.296
FR,2021-01-01,102.596
FR,2021-04-01,104.954
FR,2021-07-01,106.027
FR,2021-10-01,111.988
FR,2022-01-01,107.091
FR,2022-04-01,108.824
FR,2022-07-01,107.151
FR,2022-10-01,112.124
FR,2023-01-01,108.184
FR,2023-04-01,109.408
FR,2023-07-01,107.373
FR,2023-10-01,112.951
FR,2024-01-01,109.25
FR,2024-04-01,109.824
FR,2024-07-01,108.833
FR,2024-10-01,113.569
GR,2000-01-01,78.39
GR,2000-04-01,80.179
GR,2000-07-01,86.914
GR,2000-10-01,88.688
GR,2001-01-01,83.005
GR,2001-04-01,83.6
GR,2001-07-01,90.263
GR,2001-10-01,91.039
GR,2002-01-01,85.145
GR,2002-04-01,88.918
GR,2002-07-01,94.187
GR,2002-10-01,94.626
GR,2003-01-01,90.086
GR,2003-04-01,93.864
GR,2003-07-01,98.751
GR,2003-10-01,100.295
GR,2004-01-01,96.027
GR,2004-04-01,98.462
GR,2004-07-01,104.107
GR,2004-10-01,104.001
GR,2005-01-01,96.574
GR,2005-04-01,99.702
GR,2005-07-01,104.702
GR,2005-10-01,105.188
GR,2006-01-01,102.508
GR,2006-04-01,106.322
GR,2006-07-01,109.536
GR,2006-10-01,112.675
GR,2007-01-01,105.464
GR,2007-04-01,112.426
GR,2007-07-01,114.106
GR,2007-10-01,113.032
GR,2008-01-01,107.164
GR,2008-04-01,110.7
GR,2008-07-01,113.352
GR,2008-10-01,112.887
GR,2009-01-01,99.482
GR,2009-04-01,106.572
GR,2009-07-01,108.942
GR,2009-10-01,109.693
GR,2010-01-01,99.888
GR,2010-04-01,100.599
GR,2010-07-01,99.733
GR,2010-10-01,99.779
GR,2011-01-01,88.502
GR,2011-04-01,91.957
GR,2011-07-01,92.677
GR,2011-10-01,87.889
GR,2012-01-01,80.582
GR,2012-04-01,83.23
GR,2012-07-01,85.237
GR,2012-10-01,83.706
GR,2013-01-01,76.327
GR,2013-04-01,81.054
GR,2013-07-01,85.274
GR,2013-10-01,84.921
GR,2014-01-01,77.399
GR,2014-04-01,82.369
GR,2014-07-01,86.892
GR,2014-10-01,85.716
GR,2015-01-01,78.458
GR,2015-04-01,83.345
GR,2015-07-01,85.254
GR,2015-10-01,86.75
GR,2016-01-01,78.122
GR,2016-04-01,83.331
GR,2016-07-01,87.523
GR,2016-10-01,86.099
GR,2017-01-01,78.957
GR,2017-04-01,84.793
GR,2017-07-01,90.602
GR,2017-10-01,86.336
GR,2018-01-01,80.536
GR,2018-04-01,86.611
GR,2018-07-01,92.764
GR,2018-10-01,88.513
GR,2019-01-01,81.68
GR,2019-04-01,89.193
GR,2019-07-01,96.072
GR,2019-10-01,89.786
GR,2020-01-01,79.904
GR,2020-04-01,74.629
GR,2020-07-01,87.021
GR,2020-10-01,83.074
GR,2021-01-01,78.486
GR,2021-04-01,86.152
GR,2021-07-01,97.656
GR,2021-10-01,92.395
GR,2022-01-01,85.309
GR,2022-04-01,92.705
GR,2022-07-01,102.489
GR,2022-10-01,96.7
GR,2023-01-01,87.071
GR,2023-04-01,96.201
GR,2023-07-01,104.827
GR,2023-10-01,99.024
GR,2024-01-01,88.505
GR,2024-04-01,98.691
GR,2024-07-01,107.461
GR,2024-10-01,101.893
HR,2000-01-01,67.145
HR,2000-04-01,73.711
HR,2000-07-01,82.991
HR,2000-10-01,73.06
HR,2001-01-01,71.939
HR,2001-04-01,79.965
HR,2001-07-01,89.364
HR,2001-10-01,76.781
HR,2002-01-01,75.238
HR,2002-04-01,83.795
HR,2002-07-01,94.918
HR,2002-10-01,82.184
HR,2003-01-01,79.977
HR,2003-04-01,89.261
HR,2003-07-01,99.442
HR,2003-10-01,86.162
HR,2004-01-01,83.785
HR,2004-04-01,92.411
HR,2004-07-01,102.848
HR,2004-10-01,90.359
HR,2005-01-01,84.833
HR,2005-04-01,97.216
HR,2005-07-01,108.179
HR,2005-10-01,94.859
HR,2006-01-01,90.319
HR,2006-04-01,101.201
HR,2006-07-01,113.084
HR,2006-10-01,99.927
HR,2007-01-01,96.017
HR,2007-04-01,106.984
HR,2007-07-01,118.109
HR,2007-10-01,103.877
HR,2008-01-01,99.157
HR,2008-04-01,109.985
HR,2008-07-01,120.028
HR,2008-10-01,104.364
HR,2009-01-01,90.737
HR,2009-04-01,101.354
HR,2009-07-01,111.802
HR,2009-10-01,100.535
HR,2010-01-01,89.116
HR,2010-04-01,98.837
HR,2010-07-01,113.191
HR,2010-10-01,98.856
HR,2011-01-01,87.301
HR,2011-04-01,100.605
HR,2011-07-01,114.009
HR,2011-10-01,98.91
HR,2012-01-01,86.348
HR,2012-04-01,97.826
HR,2012-07-01,112.316
HR,2012-10-01,96.585
HR,2013-01-01,85.547
HR,2013-04-01,98.817
HR,2013-07-01,112.697
HR,2013-10-01,96.895
HR,2014-01-01,85.055
HR,2014-04-01,98.53
HR,2014-07-01,112.513
HR,2014-10-01,97.35
HR,2015-01-01,87.002
HR,2015-04-01,100.742
HR,2015-07-01,117.951
HR,2015-10-01,99.601
HR,2016-01-01,91.704
HR,2016-04-01,104.591
HR,2016-07-01,121.567
HR,2016-10-01,105.074
HR,2017-01-01,94.814
HR,2017-04-01,109.097
HR,2017-07-01,128.161
HR,2017-10-01,109.193
HR,2018-01-01,97.58
HR,2018-04-01,114.279
HR,2018-07-01,133.305
HR,2018-10-01,113.239
HR,2019-01-01,104.755
HR,2019-04-01,120.887
HR,2019-07-01,140.773
HR,2019-10-01,118.526
HR,2020-01-01,104.301
HR,2020-04-01,102.821
HR,2020-07-01,126.413
HR,2020-10-01,115.229
HR,2021-01-01,109.14
HR,2021-04-01,123.9
HR,2021-07-01,147.493
HR,2021-10-01,128.44
HR,2022-01-01,118.34
